Condition,ICD10_Code,Symptoms,Recommended_Specialty,Sub_Specialty,Urgency_Level,Hospital_Type,CHAS_Coverage,Alternative_Specialties,Triage_Color
Chronic Kidney Disease,N18,Fatigue weakness anemia,Nephrology,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Acute Kidney Injury,N17,Sudden oliguria confusion,Nephrology,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Hypertensive Crisis,I16,Severe headache chest pain vision changes,Cardiology,None,CRITICAL,Hospital,Yes,Emergency Medicine,RED
Prostate Cancer,C61,Urinary hesitancy hematuria pelvic pain,Urology,Uro-Oncology,HIGH,Hospital,No,General Surgery Oncology,YELLOW
Benign Prostatic Hyperplasia,N40,Urinary frequency nocturia weak stream,Urology,None,MEDIUM,Clinic,No,General Practice,GREEN
Urinary Tract Infection,N39,Dysuria urgency frequency,Urology,None,MEDIUM,Clinic,Yes,General Practice Infectious Diseases,GREEN
Breast Cancer,C50,Breast lump pain discharge,Oncology,Breast Oncology,HIGH,Hospital,No,General Surgery,YELLOW
Lung Cancer,C34,Persistent cough hemoptysis chest pain,Oncology,Respiratory Oncology,HIGH,Hospital,No,Respiratory Medicine Thoracic Surgery,YELLOW
Lymphoma,C81,Lymphadenopathy fever weight loss,Oncology,Haematological Malignancies,HIGH,Hospital,No,General Surgery,YELLOW
Leukemia,C91,Fatigue bruising bleeding fever,Oncology,Haematological Malignancies,CRITICAL,Hospital,No,Emergency Medicine,RED
Depression,F32,Sadness hopelessness lack of interest,Psychiatry,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Anxiety,F41,Excessive worry panic attacks tremor,Psychiatry,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Bipolar Disorder,F31,Mood swings grandiosity risky behavior,Psychiatry,Bipolar Disorder,MEDIUM,Hospital,No,General Practice,YELLOW
Schizophrenia,F20,Hallucinations delusions disorganized speech,Psychiatry,Psychosis,HIGH,Hospital,No,General Practice,YELLOW
PTSD,F43,Flashbacks nightmares hypervigilance,Psychiatry,Trauma,MEDIUM,Clinic,No,General Practice,YELLOW
Obsessive Compulsive Disorder,F42,Intrusive thoughts compulsions anxiety,Psychiatry,OCD,MEDIUM,Clinic,No,General Practice,YELLOW
Autism Spectrum Disorder,F84,Social difficulties repetitive behaviors,Psychiatry,Child Psychiatry,MEDIUM,Hospital,No,General Practice Paediatrics,GREEN
ADHD,F90,Inattention hyperactivity impulsivity,Psychiatry,Child Psychiatry,MEDIUM,Clinic,No,General Practice Paediatrics,GREEN
Substance Use Disorder,F10,Drug use cravings withdrawal,Psychiatry,Addiction Psychiatry,HIGH,Hospital,No,General Practice,YELLOW
Dementia Care,G30,Memory loss confusion care needs,Psychiatry,Psychogeriatrics,MEDIUM,Clinic,No,General Practice Geriatrics,GREEN
Acute Myocarditis,I41,Chest pain fatigue arrhythmia,Cardiology,Coronary Intervention,HIGH,Hospital,No,Emergency Medicine,YELLOW
Endocarditis,I33,Fever heart murmur fatigue,Cardiology,Infection Prevention,HIGH,Hospital,No,Infectious Diseases Emergency Medicine,YELLOW
Pericarditis,I30,Chest pain shortness of breath,Cardiology,None,MEDIUM,Hospital,No,Emergency Medicine,YELLOW
Aortic Aneurysm,I71,Severe back pain shock hypotension,Cardiology,Vascular Surgery,CRITICAL,Hospital,No,Emergency Medicine Thoracic Surgery,RED
Varicose Veins,I83,Leg pain swelling visible veins,Cardiology,Vascular Surgery,LOW,Clinic,No,General Practice,GREEN
Pneumothorax,J93,Sudden chest pain shortness of breath,Respiratory Medicine,None,HIGH,Hospital,No,Emergency Medicine Thoracic Surgery,YELLOW
Pulmonary Embolism,I26,Chest pain shortness of breath tachycardia,Respiratory Medicine,None,CRITICAL,Hospital,No,Emergency Medicine Cardiology,RED
Asthma Attack,J45,Severe wheezing inability to breathe,Respiratory Medicine,Asthma,CRITICAL,Hospital,Yes,Emergency Medicine,RED
Cystic Fibrosis,E84,Chronic cough recurrent infections,Respiratory Medicine,None,MEDIUM,Hospital,No,General Practice,GREEN
Interstitial Lung Disease,J84,Shortness of breath dry cough,Respiratory Medicine,None,MEDIUM,Hospital,No,General Practice,YELLOW
Acute Pancreatitis,K85,Severe abdominal pain nausea vomiting,Gastroenterology,None,CRITICAL,Hospital,No,General Surgery Emergency Medicine,RED
Gallstones,K80,Abdominal pain nausea fatty food intolerance,Gastroenterology,None,MEDIUM,Hospital,No,General Surgery,YELLOW
Appendicitis,K35,Right sided abdominal pain fever,General Surgery,Colorectal Surgery,HIGH,Hospital,No,Emergency Medicine,YELLOW
Bowel Obstruction,K56,Abdominal pain vomiting constipation,General Surgery,Colorectal Surgery,HIGH,Hospital,No,Emergency Medicine,YELLOW
Hemorrhoids,K64,Rectal bleeding pain itching,Gastroenterology,Colorectal Surgery,LOW,Clinic,Yes,General Practice,GREEN
Inflammatory Bowel Disease,K50,Diarrhea abdominal pain weight loss,Gastroenterology,None,MEDIUM,Hospital,Yes,General Practice,YELLOW
Celiac Disease,K90,Diarrhea abdominal bloating malabsorption,Gastroenterology,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Anemia,D50,Fatigue shortness of breath weakness,Oncology,Haematology,MEDIUM,Clinic,Yes,General Practice,GREEN
Bleeding Disorder,D66,Easy bruising prolonged bleeding,Oncology,Haematology,MEDIUM,Hospital,No,General Practice,YELLOW
Acute Leukemia,C91,Fever bleeding bruising fatigue,Oncology,Haematological Malignancies,CRITICAL,Hospital,No,Emergency Medicine,RED
Lymphoma,C81,Lymph node swelling fever weight loss,Oncology,Haematological Malignancies,HIGH,Hospital,No,General Surgery,YELLOW
Chronic Migraine,G43,Frequent debilitating headaches,Neurology,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Tension Headache,G44,Bilateral head pressure muscle tightness,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Cluster Headache,G44,Severe unilateral eye pain tearing,Neurology,None,MEDIUM,Hospital,No,General Practice,YELLOW
Trigeminal Neuralgia,G50,Sharp facial pain burning sensation,Neurology,Pain Management,MEDIUM,Hospital,No,General Practice,YELLOW
Peripheral Neuropathy,G62,Numbness tingling weakness in extremities,Neurology,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Multiple Sclerosis,G35,Numbness weakness vision problems fatigue,Neurology,None,MEDIUM,Hospital,No,General Practice,YELLOW
Amyotrophic Lateral Sclerosis,G12,Progressive muscle weakness paralysis,Neurology,Movement Disorders,HIGH,Hospital,No,General Practice,YELLOW
Spinal Cord Injury,S14,Paralysis loss of sensation,Neurosurgery,Spinal Neurosurgery,CRITICAL,Hospital,No,Emergency Medicine General Surgery,RED
Cervical Spondylosis,M47,Neck pain arm numbness weakness,Neurosurgery,Spine Surgery,MEDIUM,Hospital,No,Orthopaedic Surgery,YELLOW
Lumbar Stenosis,M48,Back pain leg pain walking difficulty,Orthopaedic Surgery,Spine Surgery,MEDIUM,Hospital,No,General Practice,YELLOW
Herniated Disc,M51,Severe back pain radiculopathy,Orthopaedic Surgery,Spine Surgery,MEDIUM,Hospital,No,General Practice,YELLOW
Rotator Cuff Injury,M75,Shoulder pain weakness loss of motion,Orthopaedic Surgery,Reconstructive Surgery,MEDIUM,Clinic,No,General Practice,YELLOW
Carpal Tunnel Syndrome,G56,Hand numbness tingling weakness,Orthopaedic Surgery,Hand Surgery,LOW,Clinic,Yes,General Practice,GREEN
Tendonitis,M76,Joint pain inflammation swelling,Orthopaedic Surgery,Sports Medicine,LOW,Clinic,Yes,General Practice,GREEN
ACL Tear,S83,Knee pain swelling hearing pop sound,Orthopaedic Surgery,Sports Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Meniscus Tear,S83,Knee pain clicking locking sensation,Orthopaedic Surgery,Sports Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Osteoarthritis,M19,Joint pain stiffness morning stiffness,Rheumatology,None,MEDIUM,Clinic,Yes,General Practice Orthopaedic Surgery,GREEN
Rheumatoid Arthritis,M05,Joint pain swelling fatigue fever,Rheumatology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Gout,M10,Sudden joint pain swelling redness,Rheumatology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Ankylosing Spondylitis,M45,Back stiffness pain restricted movement,Rheumatology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Sjögren's Syndrome,M35,Dry eyes dry mouth joint pain,Rheumatology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Scleroderma,M34,Skin tightening joint pain organ involvement,Rheumatology,None,MEDIUM,Hospital,No,General Practice,YELLOW
Vasculitis,M30,Joint pain rash fever organ involvement,Rheumatology,None,HIGH,Hospital,No,General Practice,YELLOW
Polymyalgia Rheumatica,M35,Muscle pain stiffness fatigue,Rheumatology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Fibromyalgia,M79,Widespread muscle pain fatigue sleep issues,Rheumatology,None,MEDIUM,Clinic,No,General Practice,YELLOW
Acute Otitis Media,H66,Ear pain fever hearing loss,General Practice,None,MEDIUM,Clinic,Yes,Otolaryngology,YELLOW
Chronic Otitis Media,H66,Ear discharge hearing loss tinnitus,Otolaryngology,None,MEDIUM,Clinic,No,General Practice,GREEN
Sinusitis,J32,Facial pain nasal congestion drainage,General Practice,None,MEDIUM,Clinic,Yes,Otolaryngology,YELLOW
Allergic Rhinitis,J30,Nasal congestion sneezing itching,General Practice,None,LOW,Clinic,Yes,Otolaryngology,GREEN
Pharyngitis,J02,Sore throat fever difficulty swallowing,General Practice,None,MEDIUM,Clinic,Yes,Otolaryngology,YELLOW
Laryngitis,J04,Hoarseness voice loss throat irritation,General Practice,None,LOW,Clinic,Yes,Otolaryngology,GREEN
Tonsillitis,J03,Sore throat fever enlarged tonsils,General Practice,None,MEDIUM,Clinic,Yes,Otolaryngology,YELLOW
Sleep Apnea,G47,Loud snoring daytime sleepiness,Respiratory Medicine,Sleep Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Insomnia,G47,Difficulty falling asleep staying asleep,General Practice,None,LOW,Clinic,Yes,Psychiatry,GREEN
Narcolepsy,G47,Excessive daytime sleepiness cataplexy,Neurology,Sleep Disorders,MEDIUM,Hospital,No,General Practice,YELLOW
Restless Leg Syndrome,G25,Leg discomfort at night sleep disruption,Neurology,None,LOW,Clinic,No,General Practice,GREEN
Fatigue,R53,Extreme tiredness weakness malaise,General Practice,None,MEDIUM,Clinic,Yes,Endocrinology,GREEN
Fever,R50,High temperature chills malaise,General Practice,None,MEDIUM,Clinic,Yes,Infectious Diseases,YELLOW
Cough,R05,Persistent cough phlegm shortness of breath,General Practice,None,MEDIUM,Clinic,Yes,Respiratory Medicine,YELLOW
Sore Throat,R04,Throat pain difficulty swallowing fever,General Practice,None,MEDIUM,Clinic,Yes,Otolaryngology,YELLOW
Rash,R21,Skin irritation itching inflammation,Dermatology,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Acne,L70,Pimples blackheads pustules,Dermatology,Cosmetic Dermatology,LOW,Clinic,No,General Practice,GREEN
Eczema,L20,Itchy inflamed dry skin,Dermatology,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Psoriasis,L40,Red scaly patches itching,Dermatology,None,MEDIUM,Clinic,No,General Practice,GREEN
Urticaria,L50,Hives itching swelling,Dermatology,None,LOW,Clinic,Yes,General Practice,GREEN
Fungal Infection,B35,Itching redness scaling infection,Dermatology,None,LOW,Clinic,Yes,General Practice,GREEN
Bacterial Infection,A49,Redness swelling pus,Dermatology,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Viral Infection,B34,Rash fever malaise,Dermatology,None,MEDIUM,Clinic,Yes,Infectious Diseases,YELLOW
Melanoma,C43,Asymmetric mole color variation,Dermatology,None,HIGH,Hospital,No,General Surgery Oncology,YELLOW
Non-Melanoma Skin Cancer,C44,Raised lesion bleeding,Dermatology,None,MEDIUM,Hospital,No,General Surgery,YELLOW
Burns,T20,Skin damage pain blistering,General Surgery,None,HIGH,Hospital,No,Emergency Medicine,YELLOW
Wounds,T81,Bleeding pain infection risk,General Surgery,None,MEDIUM,Hospital,No,Emergency Medicine,YELLOW
Fracture,S12,Bone pain swelling deformity,Orthopaedic Surgery,Trauma Surgery,HIGH,Hospital,No,Emergency Medicine General Surgery,YELLOW
Dislocation,S43,Joint pain deformity loss of motion,Orthopaedic Surgery,Trauma Surgery,MEDIUM,Hospital,No,Emergency Medicine,YELLOW
Sprain,S36,Joint pain swelling limited mobility,General Practice,None,LOW,Clinic,Yes,Orthopaedic Surgery,GREEN
Strain,M72,Muscle pain weakness limited motion,General Practice,None,LOW,Clinic,Yes,Orthopaedic Surgery,GREEN
Whiplash,S13,Neck pain stiffness headache,Orthopaedic Surgery,Spine Surgery,MEDIUM,Clinic,No,General Practice,YELLOW
Concussion,S06,Headache confusion memory loss,Neurosurgery,None,HIGH,Hospital,No,Emergency Medicine,YELLOW
Intracranial Hemorrhage,I61,Severe headache vomiting weakness,Neurosurgery,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Subdural Hematoma,I62,Headache confusion weakness,Neurosurgery,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Poisoning,T65,Nausea vomiting altered consciousness,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Drug Overdose,T40,Altered consciousness respiratory depression,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Alcohol Intoxication,F10,Confusion slurred speech impaired judgment,Emergency Medicine,None,MEDIUM,Hospital,No,Emergency Medicine,YELLOW
Anaphylaxis,T78,Throat tightness wheezing hypotension,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Allergic Reaction,L50,Rash itching swelling,Emergency Medicine,None,MEDIUM,Clinic,Yes,General Practice Dermatology,YELLOW
Sepsis,A41,High fever hypotension confusion,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine Infectious Diseases,RED
Shock,R57,Altered consciousness hypotension pallor,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Syncope,R55,Fainting loss of consciousness,Emergency Medicine,None,MEDIUM,Hospital,Yes,Cardiology Neurology,YELLOW
Seizure,R56,Loss of consciousness muscle jerking,Emergency Medicine,None,HIGH,Hospital,Yes,Neurology,YELLOW
Status Epilepticus,G41,Prolonged seizures altered consciousness,Emergency Medicine,None,CRITICAL,Hospital,No,Neurology,RED
Cardiac Arrest,I46,Loss of consciousness no pulse,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Respiratory Failure,J96,Severe shortness of breath,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine Respiratory Medicine,RED
Hypovolemic Shock,R57,Rapid pulse hypotension pale,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Cardiogenic Shock,R57,Hypotension pulmonary edema confusion,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine Cardiology,RED
Distributive Shock,R57,Hypotension fever warm skin,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Obstructive Shock,R57,Chest pain hypotension dyspnea,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Drowning,T75,Respiratory distress unconsciousness aspiration,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Near Drowning,T75,Aspiration cough shortness of breath,Emergency Medicine,None,HIGH,Hospital,No,Emergency Medicine,YELLOW
Choking,T18,Inability to speak cough dyspnea,Emergency Medicine,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Foreign Body Aspiration,T17,Cough dyspnea stridor,Emergency Medicine,None,HIGH,Hospital,No,Emergency Medicine,YELLOW
Haemorrhage,R58,Bleeding shock hypotension,Emergency Medicine,None,CRITICAL,Hospital,Yes,Emergency Medicine General Surgery,RED
Pregnancy Complications,O26,Abdominal pain bleeding,Obstetrics & Gynaecology,Maternal Fetal Medicine,HIGH,Hospital,No,General Practice Emergency Medicine,YELLOW
Eclampsia,O15,Seizures severe headache hypertension,Obstetrics & Gynaecology,Maternal Fetal Medicine,CRITICAL,Hospital,No,Emergency Medicine,RED
Placental Abruption,O45,Vaginal bleeding abdominal pain shock,Obstetrics & Gynaecology,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Preeclampsia,O14,Hypertension proteinuria edema,Obstetrics & Gynaecology,Maternal Fetal Medicine,CRITICAL,Hospital,No,General Practice,RED
Gestational Diabetes,O24,Elevated blood sugar pregnancy,Obstetrics & Gynaecology,None,MEDIUM,Clinic,No,Endocrinology,YELLOW
Miscarriage,O03,Vaginal bleeding abdominal pain,Obstetrics & Gynaecology,None,HIGH,Hospital,No,Emergency Medicine,YELLOW
Ectopic Pregnancy,O00,Abdominal pain vaginal bleeding shock,Obstetrics & Gynaecology,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Postpartum Hemorrhage,O72,Heavy vaginal bleeding shock,Obstetrics & Gynaecology,None,CRITICAL,Hospital,No,Emergency Medicine,RED
Postpartum Depression,F53,Sadness anxiety difficulty bonding,Obstetrics & Gynaecology,None,MEDIUM,Clinic,No,Psychiatry General Practice,YELLOW
Menstrual Disorders,N94,Irregular periods pain cramping,Obstetrics & Gynaecology,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Endometriosis,N80,Pelvic pain dysmenorrhea infertility,Obstetrics & Gynaecology,None,MEDIUM,Hospital,No,General Practice,YELLOW
Uterine Fibroids,D25,Heavy menstrual bleeding pelvic pressure,Obstetrics & Gynaecology,None,MEDIUM,Hospital,No,General Practice,YELLOW
Ovarian Cysts,N83,Pelvic pain irregular periods,Obstetrics & Gynaecology,None,LOW,Clinic,No,General Practice,GREEN
Polycystic Ovary Syndrome,E28,Irregular periods infertility acne weight gain,Obstetrics & Gynaecology,None,MEDIUM,Clinic,No,Endocrinology,YELLOW
Cervical Cancer,C53,Abnormal vaginal bleeding pelvic pain,Obstetrics & Gynaecology,Gynaecological Oncology,HIGH,Hospital,No,Oncology General Surgery,YELLOW
Breast Fibroadenoma,D24,Breast lump no pain,Obstetrics & Gynaecology,None,LOW,Clinic,No,General Practice,GREEN
Breastfeeding Issues,O92,Breast pain engorgement difficulty feeding,Obstetrics & Gynaecology,None,MEDIUM,Clinic,No,General Practice,GREEN
Infertility,N97,Inability to conceive,Obstetrics & Gynaecology,Reproductive Endocrinology,MEDIUM,Hospital,No,General Practice Endocrinology,GREEN
Childhood Fever,R50,High temperature in child,Paediatrics,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Croup,J05,Barky cough stridor respiratory distress,Paediatrics,None,MEDIUM,Clinic,Yes,Emergency Medicine,YELLOW
Bronchiolitis,J20,Wheezing cough respiratory distress,Paediatrics,None,HIGH,Hospital,Yes,Emergency Medicine,YELLOW
Gastroenteritis,A09,Diarrhea vomiting dehydration,Paediatrics,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Pyloric Stenosis,Q40,Projectile vomiting in infant,Paediatrics,Neonatal Surgery,HIGH,Hospital,No,Pediatric Surgery Emergency Medicine,YELLOW
Intussusception,K56,Abdominal pain bloody stools,Paediatrics,None,HIGH,Hospital,No,Pediatric Surgery Emergency Medicine,YELLOW
Appendicitis in Child,K35,Right sided abdominal pain,Paediatrics,None,HIGH,Hospital,No,Pediatric Surgery Emergency Medicine,YELLOW
Congenital Heart Disease,Q20,Blue discoloration difficulty feeding,Paediatrics,Cardiac,HIGH,Hospital,No,Cardiology,YELLOW
Asthma in Child,J45,Wheezing cough difficulty breathing,Paediatrics,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Allergies,T78,Rash itching swelling,Paediatrics,None,LOW,Clinic,Yes,General Practice Dermatology,GREEN
Diabetes in Child,E10,Excessive thirst urination weight loss,Paediatrics,None,MEDIUM,Hospital,Yes,Endocrinology,YELLOW
Cerebral Palsy,G80,Motor difficulties muscle tone,Paediatrics,Developmental Paediatrics,MEDIUM,Hospital,No,Neurology,GREEN
Autism,F84,Social difficulties repetitive behaviors,Paediatrics,Developmental Paediatrics,MEDIUM,Clinic,No,Psychiatry,GREEN
Attention Deficit,F90,Inattention hyperactivity impulsivity,Paediatrics,Developmental Paediatrics,MEDIUM,Clinic,No,Psychiatry,GREEN
Growth Disorder,E34,Short stature slow growth,Paediatrics,Endocrinology,LOW,Clinic,No,Endocrinology,GREEN
Failure to Thrive,R62,Poor weight gain developmental delay,Paediatrics,Developmental Paediatrics,MEDIUM,Clinic,Yes,General Practice,YELLOW
Immunodeficiency,D84,Recurrent infections,Paediatrics,None,HIGH,Hospital,No,Infectious Diseases,YELLOW
Neonatal Jaundice,P59,Yellow skin eyes in newborn,Paediatrics,Neonatal Intensive Care,MEDIUM,Hospital,No,Obstetrics & Gynaecology,YELLOW
Preterm Complications,P07,Respiratory issues feeding difficulty,Paediatrics,Neonatal Intensive Care,CRITICAL,Hospital,No,Obstetrics & Gynaecology,RED
Birth Defects,Q89,Physical abnormalities at birth,Paediatrics,None,HIGH,Hospital,No,Pediatric Surgery General Surgery,YELLOW
Chicken Pox,B01,Blistering rash fever,General Practice,None,MEDIUM,Clinic,Yes,Paediatrics,YELLOW
Measles,B05,Rash fever cough coryza,General Practice,None,MEDIUM,Clinic,Yes,Paediatrics,YELLOW
Mumps,B26,Parotitis fever malaise,General Practice,None,MEDIUM,Clinic,No,Paediatrics,YELLOW
Rubella,B06,Rash fever lymphadenopathy,General Practice,None,MEDIUM,Clinic,No,Paediatrics Obstetrics,YELLOW
Pertussis,A37,Prolonged cough whooping sound,General Practice,None,MEDIUM,Clinic,Yes,Respiratory Medicine,YELLOW
Diphtheria,A36,Throat membrane breathing difficulty,General Practice,None,HIGH,Hospital,No,Infectious Diseases,YELLOW
Tetanus,A35,Muscle rigidity lockjaw fever,General Practice,None,CRITICAL,Hospital,No,Emergency Medicine Infectious Diseases,RED
Poliomyelitis,A80,Paralysis fever malaise,General Practice,None,CRITICAL,Hospital,No,Emergency Medicine Neurology,RED
Influenza,J11,Fever cough body aches,General Practice,None,MEDIUM,Clinic,Yes,Respiratory Medicine,YELLOW
Dengue,A90,High fever body aches rash,Infectious Diseases,Tropical Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Malaria,B50,High fever chills sweating,Infectious Diseases,Tropical Medicine,HIGH,Hospital,No,General Practice Emergency Medicine,YELLOW
Zika,A92,Rash fever joint pain,Infectious Diseases,Tropical Medicine,MEDIUM,Clinic,No,General Practice,YELLOW
Chikungunya,A92,High fever joint pain rash,Infectious Diseases,Tropical Medicine,MEDIUM,Clinic,No,General Practice,YELLOW
HIV,B20,Fever weight loss opportunistic infections,Infectious Diseases,HIV Medicine,MEDIUM,Hospital,No,General Practice,YELLOW
Syphilis,A51,Ulcers rash systemic symptoms,Infectious Diseases,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Gonorrhea,A54,Urethritis cervicitis pelvic pain,Infectious Diseases,None,MEDIUM,Clinic,Yes,General Practice Urology,GREEN
Chlamydia,A56,Urethritis cervicitis discharge,Infectious Diseases,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Herpes Simplex,B00,Vesicles pain fever,Infectious Diseases,None,MEDIUM,Clinic,Yes,Dermatology,YELLOW
Hepatitis B,B19,Jaundice fatigue abdominal pain,Infectious Diseases,None,HIGH,Hospital,No,Gastroenterology,YELLOW
Hepatitis C,B19,Jaundice fatigue liver dysfunction,Infectious Diseases,None,MEDIUM,Hospital,No,Gastroenterology,YELLOW
Whooping Cough,A37,Prolonged cough whooping,General Practice,None,MEDIUM,Clinic,Yes,Respiratory Medicine Paediatrics,YELLOW
Common Cold,J00,Runny nose cough sneezing,General Practice,None,LOW,Clinic,Yes,Otolaryngology,GREEN
Flu,J11,Fever cough body aches malaise,General Practice,None,MEDIUM,Clinic,Yes,Respiratory Medicine,YELLOW
