Condition,Primary_Specialty,Sub_Specialty,Urgency,Recommended_Hospital_Type,CHAS_Coverage,Doctor_MCR_Examples,Hospital_Names,Clinic_Names,Contact_Strategy,Response_Time,Triage_Color,Wait_Time_Expected
Anxiety,Psychiatry,None,MEDIUM,Clinic,Yes,"M001254",Institute of Mental Health;Polyclinics;Changi General Hospital,Psychiatric Clinic;Counselling Services,Book appointment,Within 1 week,YELLOW,2-4 hours
Bipolar Disorder,Psychiatry,Bipolar Disorder,MEDIUM,Hospital,No,"M001270,M001271",Institute of Mental Health;Tan Tock Seng Hospital,Psychiatric Clinic,Call hospital,Within 2-4 hours,YELLOW,2-4 hours
Schizophrenia,Psychiatry,Psychosis,HIGH,Hospital,No,"M001270,M001271",Institute of Mental Health;Singapore General Hospital;Tan Tock Seng Hospital,Psychiatric Clinic,Call hospital immediately,Within 2-4 hours,YELLOW,1-2 hours
Obstetrics & Gynaecology Issue,Obstetrics & Gynaecology,None,MEDIUM,Hospital,No,"M001272,M001273,M001290",KK Women's and Children's Hospital;Singapore General Hospital;Tan Tock Seng Hospital,Obstetrics Clinic,Book appointment or call,Within 3-5 days,YELLOW,1-2 hours
Pregnancy Complications,Obstetrics & Gynaecology,Maternal Fetal Medicine,HIGH,Hospital,No,"M001272,M001273",KK Women's and Children's Hospital;Singapore General Hospital,Emergency Department,Go to Emergency or call 995,Within 1-2 hours,YELLOW,<15 minutes
Child Fever,Paediatrics,None,MEDIUM,Clinic,Yes,"M001237,M001248,M001279",Polyclinics;KK Women's and Children's Hospital;Changi General Hospital,Family Care Centre;Ally Health,Call doctor or walk-in,Within 2-4 hours,YELLOW,1-2 hours
Childhood Asthma,Paediatrics,None,MEDIUM,Clinic,Yes,"M001237,M001248",Polyclinics;KK Women's and Children's Hospital,Essential Family Clinic;Ally Health,Book appointment,Within 3-5 days,YELLOW,1-2 hours
Congenital Heart Disease,Paediatrics,Cardiac,HIGH,Hospital,No,"M001237,M001248",KK Women's and Children's Hospital;Singapore General Hospital;National Heart Centre,Paediatric Cardiology Clinic,Call hospital,Within 1 day,YELLOW,2-4 hours
Neonatal Issues,Paediatrics,Neonatal Intensive Care,CRITICAL,Hospital,No,"M001237",KK Women's and Children's Hospital;Singapore General Hospital,Emergency Department,Go to Emergency or call 995,Immediate,RED,<5 minutes
Acute Myocarditis,Cardiology,Coronary Intervention,HIGH,Hospital,No,"M001234,M001272",National Heart Centre Singapore;Singapore General Hospital,Emergency Department,Go to Emergency,Within 2-4 hours,YELLOW,<15 minutes
Pulmonary Embolism,Respiratory Medicine,None,CRITICAL,Hospital,No,"M001279,M001284",Tan Tock Seng Hospital;Singapore General Hospital;Changi General Hospital,Emergency Department,Call 995 immediately,Immediate,RED,<5 minutes
Asthma Attack,Respiratory Medicine,Asthma,CRITICAL,Hospital,Yes,"M001277,M001279",Changi General Hospital;Tan Tock Seng Hospital;Singapore General Hospital,Emergency Department,Call 995 immediately,Immediate,RED,<5 minutes
Acute Pancreatitis,Gastroenterology,None,CRITICAL,Hospital,No,"M001264",Singapore General Hospital;Tan Tock Seng Hospital;National University Hospital,Emergency Department,Go to Emergency,Immediate,RED,<10 minutes
Appendicitis,General Surgery,Colorectal Surgery,HIGH,Hospital,No,"M001268,M001282",Singapore General Hospital;Changi General Hospital;National University Hospital,Emergency Department,Go to Emergency,Within 4 hours,YELLOW,<30 minutes
Suicidal Ideation,Psychiatry,None,CRITICAL,Hospital,No,"M001270,M001272",Institute of Mental Health;Singapore General Hospital;Emergency Department,Emergency Department,Call 1800-221-4444 or 995,Immediate,RED,Immediate
Severe Headache,Neurology,None,CRITICAL,Hospital,Yes,"M001252,M001276",National Neuroscience Institute;Singapore General Hospital;Changi General Hospital,Emergency Department,Go to Emergency or call 995,Immediate,RED,<10 minutes
Accidental Poisoning,Emergency Medicine,None,CRITICAL,Hospital,No,"M001279,M001291,M001292",Singapore General Hospital;Changi General Hospital;Poison Control (1800-6363),Emergency Department,Call Poison Control or 995,Immediate,RED,<5 minutes
Severe Burns,General Surgery,None,CRITICAL,Hospital,No,"M001268,M001282",Singapore General Hospital;Changi General Hospital,Emergency Department,Call 995 immediately,Immediate,RED,<5 minutes
Drowning,Emergency Medicine,None,CRITICAL,Hospital,No,"M001279,M001291",Singapore General Hospital;Changi General Hospital,Emergency Department,Call 995 immediately,Immediate,RED,<5 minutes
Severe Allergic Reaction,Emergency Medicine,None,CRITICAL,Hospital,No,"M001279,M001291,M001292",Singapore General Hospital;Changi General Hospital,Emergency Department,Call 995 immediately,Immediate,RED,<5 minutes
Cardiac Arrest,Emergency Medicine,None,CRITICAL,Hospital,No,"M001279",Any Hospital Emergency Department,Emergency Department,Call 995 immediately,Immediate,RED,<2 minutes
Respiratory Failure,Emergency Medicine,None,CRITICAL,Hospital,No,"M001279,M001284",Singapore General Hospital;Changi General Hospital;Tan Tock Seng Hospital,Emergency Department,Call 995 immediately,Immediate,RED,<5 minutes
Sepsis,Infectious Diseases,None,CRITICAL,Hospital,No,"M001253,M001298",Tan Tock Seng Hospital;Singapore General Hospital;Changi General Hospital,Emergency Department,Go to Emergency,Immediate,RED,<10 minutes
Dengue Fever,Infectious Diseases,Tropical Medicine,MEDIUM,Hospital,No,"M001253,M001298",Tan Tock Seng Hospital;Changi General Hospital,Central 24-Hour Clinic,Call doctor or go to clinic,Within 2-4 hours,YELLOW,<1 hour
Malaria,Infectious Diseases,Tropical Medicine,HIGH,Hospital,No,"M001253,M001298",Tan Tock Seng Hospital;Singapore General Hospital,Tropical Medicine Clinic,Call hospital,Within 2-4 hours,YELLOW,2-4 hours
HIV Test,Infectious Diseases,HIV Medicine,MEDIUM,Clinic,No,"M001253,M001298",Tan Tock Seng Hospital;Institute of Infectious Diseases,Counselling and Testing Centres,Book appointment,Within 1 week,YELLOW,1-2 hours
Dermatological Issue,Dermatology,None,LOW-MEDIUM,Clinic,Yes,"M001258,M001268",Polyclinics;Changi General Hospital;Aesthetics & Dermatology Centre,Family Care Centre;Ally Health,Book appointment,Within 1-2 weeks,GREEN,1-2 hours
Acne,Dermatology,Cosmetic Dermatology,LOW,Clinic,No,"M001268",Polyclinics;Aesthetics & Dermatology Centre,Dermatology Clinic,Book appointment,Within 2-4 weeks,GREEN,1-2 hours
Fungal Infection,Dermatology,None,LOW,Clinic,Yes,"M001268",Polyclinics;Changi General Hospital,Ally Health;Essential Family Clinic,Book appointment or walk-in,Within 3-5 days,GREEN,1-2 hours
Eye Pain,Ophthalmology,None,MEDIUM,Clinic,Yes,"M001256,M001257",Singapore National Eye Centre;Polyclinics;Changi General Hospital,Eye Clinic,Book urgent appointment,Within 1 day,YELLOW,2-4 hours
Sudden Vision Loss,Ophthalmology,Retinal Diseases,CRITICAL,Hospital,No,"M001256,M001257",Singapore National Eye Centre;Singapore General Hospital,Emergency Department,Go to Emergency,Immediate,RED,<15 minutes
Cataracts,Ophthalmology,None,MEDIUM,Hospital,No,"M001256,M001257",Singapore National Eye Centre;Singapore General Hospital;Mount Elizabeth,Eye Clinic,Book appointment,Within 2-4 weeks,GREEN,2-4 hours
Glaucoma,Ophthalmology,None,MEDIUM,Hospital,No,"M001256,M001257",Singapore National Eye Centre;Singapore General Hospital,Eye Clinic,Book appointment,Within 1 week,YELLOW,2-4 hours
Conjunctivitis,Ophthalmology,None,MEDIUM,Clinic,Yes,"M001256",Polyclinics;Changi General Hospital;Eye Clinic,Ally Health;Essential Family Clinic,Book appointment or walk-in,Within 2-4 hours,YELLOW,1-2 hours
Ear Infection,Otolaryngology,None,MEDIUM,Clinic,Yes,"M001257,M001260",Polyclinics;Changi General Hospital;Tan Tock Seng Hospital,Ally Health;Essential Family Clinic,Book appointment or walk-in,Within 2-4 hours,YELLOW,1-2 hours
Sore Throat,Otolaryngology,None,MEDIUM,Clinic,Yes,"M001257,M001260",Polyclinics;Changi General Hospital,Ally Health;Essential Family Clinic,Book appointment or walk-in,Within 2-4 hours,YELLOW,1-2 hours
Hearing Loss,Otolaryngology,None,MEDIUM,Clinic,No,"M001257,M001260",Singapore National Eye Centre audiology;Changi General Hospital,Audiology Clinic,Book appointment,Within 2-4 weeks,GREEN,2-4 hours
Dental Pain,Dentistry,None,MEDIUM,Clinic,Yes/No,"Varies",Q&M Dental;Sincere Dental;Raffles Dental;National Dental Centre,Dental Clinic,Call dentist,Within 1 day,YELLOW,30 mins - 1 hour
Tooth Abscess,Dentistry,None,MEDIUM,Clinic,No,"Varies",Q&M Dental;Sincere Dental;Emergency Dental Service,Dental Clinic,Call dentist urgently,Within 2-4 hours,YELLOW,<30 minutes
Maxillofacial Injury,Maxillofacial Surgery,None,HIGH,Hospital,No,"M001262",Singapore General Hospital;Changi General Hospital,Emergency Department,Go to Emergency,Within 2-4 hours,YELLOW,<30 minutes
Nosebleed,Otolaryngology,None,MEDIUM,Clinic,Yes,"M001257,M001260",Polyclinics;Changi General Hospital;Emergency Department,Emergency Clinic,Go to clinic or hospital,Within 2-4 hours,YELLOW,<30 minutes
General Check-up,General Practice,None,LOW,Clinic,Yes,"M001235,M001275,M001281,M001286",Polyclinics;Private Clinics,Ally Health;Essential Family Clinic;Acumed Medical,Book appointment,Within 1-2 weeks,GREEN,1-2 hours
Vaccination,General Practice,None,LOW,Clinic,Yes,"M001235,M001275",Polyclinics;Family Health Clinics,Ally Health;Parkway Shenton,Walk-in or book,Within 2-4 hours,GREEN,30 mins - 1 hour
Travel Medicine,General Practice,None,LOW,Clinic,No,"M001235,M001275",Polyclinics;Changi Airport Clinic,Travel Medicine Clinic,Book appointment,Within 3-5 days,GREEN,1-2 hours
Occupational Health,General Practice,None,LOW,Clinic,No,"M001235,M001275",Corporate Health Clinics;Healthway Medical,Occupational Health Clinic,Arrange with employer,Within 1 week,GREEN,1-2 hours
Health Screening,General Practice,None,LOW,Clinic,Yes,"M001235,M001275",Polyclinics;Changi General Hospital;Private Hospitals,Health Screening Centre,Book appointment,Within 1-2 weeks,GREEN,1-3 hours
Counselling,Psychiatry,None,MEDIUM,Clinic,No,"M001254,M001270,M001271",IMH;Private Counselling Centres,Counselling Service,Book appointment,Within 1-2 weeks,YELLOW,1-2 hours
Physiotherapy,Orthopaedic Surgery,None,MEDIUM,Clinic,Yes,"Various",Polyclinics;Hospitals;Private Clinics,Physiotherapy Centre,Book appointment,Within 3-5 days,YELLOW,30 mins - 1 hour
Occupational Therapy,General Practice,None,MEDIUM,Clinic,Yes,"Various",Hospitals;Rehabilitation Centres,Occupational Therapy Service,Book appointment,Within 1 week,YELLOW,1-2 hours
Speech Therapy,Paediatrics,None,MEDIUM,Clinic,Yes,"M001237",Hospitals;Child Development Centres,Speech Therapy Service,Book appointment,Within 1-2 weeks,YELLOW,1-2 hours
